date,cpi_liquid_fuels,cpi_total,year,month
2010-01-01,51.33,75.67,2010,1
2010-02-01,50.96,76.59,2010,2
2010-03-01,53.26,77.04,2010,3
2010-04-01,55.19,77.16,2010,4
2010-05-01,55.79,77.15,2010,5
2010-06-01,56.86,77.04,2010,6
2010-07-01,55.98,77.02,2010,7
2010-08-01,55.49,77.29,2010,8
2010-09-01,56.76,77.58,2010,9
2010-10-01,56.86,77.5,2010,10
2010-11-01,58.0,77.55,2010,11
2010-12-01,60.24,77.65,2010,12
2011-01-01,61.68,77.69,2011,1
2011-02-01,62.96,78.65,2011,2
2011-03-01,65.87,79.09,2011,3
2011-04-01,67.13,79.43,2011,4
2011-05-01,64.76,79.53,2011,5
2011-06-01,65.21,79.36,2011,6
2011-07-01,65.48,79.31,2011,7
2011-08-01,64.16,79.27,2011,8
2011-09-01,65.43,79.54,2011,9
2011-10-01,65.96,79.66,2011,10
2011-11-01,67.71,79.58,2011,11
2011-12-01,66.7,79.58,2011,12
2012-01-01,68.53,79.85,2012,1
2012-02-01,69.43,80.82,2012,2
2012-03-01,70.63,81.23,2012,3
2012-04-01,69.89,81.24,2012,4
2012-05-01,67.98,81.25,2012,5
2012-06-01,65.76,81.12,2012,6
2012-07-01,68.29,81.11,2012,7
2012-08-01,71.04,81.38,2012,8
2012-09-01,71.25,81.57,2012,9
2012-10-01,71.24,81.51,2012,10
2012-11-01,69.86,81.4,2012,11
2012-12-01,68.26,81.17,2012,12
2013-01-01,69.13,80.83,2013,1
2013-02-01,73.24,81.82,2013,2
2013-03-01,71.9,82.0,2013,3
2013-04-01,69.18,81.85,2013,4
2013-05-01,69.74,81.95,2013,5
2013-06-01,69.64,81.84,2013,6
2013-07-01,71.25,81.64,2013,7
2013-08-01,70.98,81.68,2013,8
2013-09-01,73.12,81.94,2013,9
2013-10-01,71.13,82.02,2013,10
2013-11-01,70.38,81.86,2013,11
2013-12-01,70.65,81.79,2013,12
2014-01-01,70.03,81.66,2014,1
2014-02-01,70.69,82.22,2014,2
2014-03-01,70.12,82.31,2014,3
2014-04-01,69.81,82.4,2014,4
2014-05-01,69.71,82.38,2014,5
2014-06-01,70.58,82.33,2014,6
2014-07-01,69.85,82.21,2014,7
2014-08-01,69.97,82.1,2014,8
2014-09-01,69.37,82.34,2014,9
2014-10-01,67.65,82.41,2014,10
2014-11-01,67.45,82.23,2014,11
2014-12-01,61.95,82.07,2014,12
