model,coef_name,elasticity,std_error,p_value,n_obs,r_squared,sample,label,group,ci_low_95,ci_high_95,significant_5pct,plot_order
real_gasoline_trend_main,log_real_gasoline_price,-0.3086351056098628,0.1216589687530511,0.0111842919060549,66419,0.977279101573808,,"Real gasoline, trend",moving_average,-0.547086684365843,-0.07018352685388263,True,0
real_gas_lag1_trend,log_real_gas_lag1,-0.2902073447078947,0.1221895373563581,0.0175461514102044,66362,0.977330886843134,road-day,"Real gasoline, lag 1",lag,-0.5296988379263565,-0.05071585148943286,True,1
real_gas_lag7_trend,log_real_gas_lag7,-0.1185684120370681,0.1293500835976939,0.3593274609515123,66005,0.9774088946304736,road-day,"Real gasoline, lag 7",lag,-0.3720945758885481,0.13495775181441194,False,2
real_gas_ma7_trend,log_real_gas_ma7,-0.2561200424249454,0.1290301611477439,0.0471486341880559,66065,0.9774111591514736,road-day,"Real gasoline, MA7",moving_average,-0.5090191582745234,-0.0032209265753673777,True,3
real_gas_ma14_trend,log_real_gas_ma14,-0.153366211866786,0.1370692449554894,0.2631845657857923,65660,0.9775132196541731,road-day,"Real gasoline, MA14",moving_average,-0.4220219319795452,0.11528950824597317,False,4
real_gas_ma30_trend,log_real_gas_ma30,0.1196716367713829,0.1524704013780657,0.4325213598004854,64722,0.977753465491886,road-day,"Real gasoline, MA30",moving_average,-0.17917034992962586,0.4185136234723916,False,5
real_gas_lead7_placebo,log_real_gas_lead7,-0.4701510897150747,0.1048993928073194,7.397314353083916e-06,66202,0.9774967497632182,road-day,"Real gasoline, lead 7 placebo",placebo,-0.6757538996174207,-0.26454827981272866,True,7
city_day_real_gas_trend,log_real_gasoline_price,-0.7030961745133604,0.2340753040535222,0.002667025133072,1390,0.6227143969715218,city-day,City-day real gasoline,city_day,-1.1618837704582639,-0.2443085785684569,True,8
city_day_real_gas_ma7_trend,log_real_gas_ma7,-0.6729688077491494,0.2337779296524978,0.0039935979517696,1384,0.6223367960878701,city-day,"City-day real gasoline, MA7",city_day,-1.131173549868045,-0.2147640656302537,True,9
real_gasoline_fe_month,log_real_gasoline_price,-0.0140537135724333,0.1285178265615728,0.9129231050761611,66419,0.97913190537949,,"Real gasoline, month FE",month_fe,-0.26594865363311593,0.23784122648824935,False,10
real_gas_ma7_fe_month,log_real_gas_ma7,-0.031779871964594,0.1326118414543916,0.8106048492750825,66065,0.9792615254260668,road-day,"Real gasoline, MA7 month FE",moving_average,-0.2916990812152015,0.22813933728601352,False,11
nominal_gasoline_trend,log_gasoline_price,-0.206715972662604,0.1127090819971042,0.0666440956223888,66419,0.9772528619958064,,"Nominal gasoline, trend",main,-0.4276257733769282,0.014193828051720231,False,12
nominal_diesel_trend,log_diesel_price,-0.0349574204152468,0.115768901250922,0.7626835896690208,66419,0.9772247803637526,,"Nominal diesel, trend",diesel,-0.2618644668670539,0.19194962603656032,False,13
real_gas_current_lag7_trend,log_real_gasoline_price,-0.9141384898543768,0.1692748248145303,6.652154154711594e-08,66005,0.977523974250002,road-day,Real Gas Current Lag7 Trend,lag,-1.2459171464908563,-0.5823598332178974,True,999
real_gas_current_lag7_trend,log_real_gas_lag7,0.7000119664434613,0.1893428811710268,0.0002181109228574,66005,0.977523974250002,road-day,Real Gas Current Lag7 Trend,lag,0.3288999193482488,1.071124013538674,True,999
real_gas_current_lag7_trend,sum_current_plus_lag7,-0.2141265234109154,,,66005,0.977523974250002,road-day,Real Gas Current Lag7 Trend,lag,,,False,999
real_gas_trend_main,log_real_gasoline_price,-0.3086351056098628,0.1216589687530511,0.0111842919060549,66419,0.977279101573808,road-day,Real Gas Trend Main,moving_average,-0.547086684365843,-0.07018352685388263,True,999
