model,coef_name,elasticity,std_error,p_value,n_obs,r_squared,sample
real_gas_trend_main,log_real_gasoline_price,-0.30863510560986285,0.12165896875305117,0.011184291906054931,66419,0.977279101573808,road-day
real_gas_lag7_trend,log_real_gas_lag7,-0.11856841203706814,0.12935008359769395,0.35932746095151236,66005,0.9774088946304735,road-day
real_gas_lag1_trend,log_real_gas_lag1,-0.2902073447078947,0.1221895373563581,0.01754615141020449,66362,0.9773308868431341,road-day
real_gas_ma7_trend,log_real_gas_ma7,-0.2561200424249454,0.1290301611477439,0.04714863418805597,66065,0.9774111591514735,road-day
real_gas_ma14_trend,log_real_gas_ma14,-0.153366211866786,0.13706924495548947,0.2631845657857923,65660,0.9775132196541731,road-day
real_gas_ma30_trend,log_real_gas_ma30,0.11967163677138294,0.15247040137806578,0.43252135980048545,64722,0.977753465491886,road-day
real_gas_current_lag7_trend,log_real_gasoline_price,-0.9141384898543767,0.16927482481453038,6.652154154711594e-08,66005,0.977523974250002,road-day
real_gas_current_lag7_trend,log_real_gas_lag7,0.7000119664434613,0.18934288117102688,0.00021811092285748253,66005,0.977523974250002,road-day
real_gas_current_lag7_trend,sum_current_plus_lag7,-0.21412652341091543,,,66005,0.977523974250002,road-day
real_gas_ma7_fe_month,log_real_gas_ma7,-0.031779871964594086,0.13261184145439162,0.8106048492750825,66065,0.9792615254260668,road-day
real_gas_lead7_placebo,log_real_gas_lead7,-0.4701510897150747,0.10489939280731941,7.397314353083916e-06,66202,0.9774967497632182,road-day
city_day_real_gas_trend,log_real_gasoline_price,-0.7030961745133604,0.23407530405352223,0.002667025133072072,1390,0.6227143969715218,city-day
city_day_real_gas_ma7_trend,log_real_gas_ma7,-0.6729688077491494,0.23377792965249783,0.003993597951769658,1384,0.6223367960878701,city-day
